HCPCS Code,Short Descriptor,SI,APC ,Relative Weight,Payment Rate ,National Unadjusted Copayment ,Minimum Unadjusted Copayment ,Column1,Column2,Column3
24073,Ex arm/elbow tum deep 5 cm/>,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
24075,Exc arm/elbow les sc < 3 cm,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
24076,Ex arm/elbow tum deep < 5 cm,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
24077,Resect arm/elbow tum < 5 cm,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
24079,Resect arm/elbow tum 5 cm/>,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
24100,Biopsy elbow joint lining,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24101,Explore/treat elbow joint,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24102,Remove elbow joint lining,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24105,Removal of elbow bursa,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24110,Remove humerus lesion,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24115,Remove/graft bone lesion,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24116,Remove/graft bone lesion,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24120,Remove elbow lesion,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24125,Remove/graft bone lesion,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24126,Remove/graft bone lesion,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24130,Removal of head of radius,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24134,Removal of arm bone lesion,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24136,Remove radius bone lesion,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24138,Remove elbow bone lesion,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24140,Partial removal of arm bone,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24145,Partial removal of radius,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24147,Partial removal of elbow,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24149,Radical resection of elbow,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24150,Resect distal humerus tumor,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24152,Resect radius tumor,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24155,Removal of elbow joint,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24160,Remove elbow joint implant,Q2,5113,33.8823,"$2,737.45",.,$547.49,,,
24164,Remove radius head implant,Q2,5113,33.8823,"$2,737.45",.,$547.49,,,
24200,Removal of arm foreign body,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
24201,Removal of arm foreign body,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
24220,Injection for elbow x-ray,N,,,,,,,,
24300,Manipulate elbow w/anesth,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
24301,Muscle/tendon transfer,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24305,Arm tendon lengthening,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24310,Revision of arm tendon,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24320,Repair of arm tendon,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24330,Revision of arm muscles,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24331,Revision of arm muscles,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24332,Tenolysis triceps,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24340,Repair of biceps tendon,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24341,Repair arm tendon/muscle,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24342,Repair of ruptured tendon,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24343,Repr elbow lat ligmnt w/tiss,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24344,Reconstruct elbow lat ligmnt,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24345,Repr elbw med ligmnt w/tissu,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24346,Reconstruct elbow med ligmnt,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24357,Repair elbow perc,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24358,Repair elbow w/deb open,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24359,Repair elbow deb/attch open,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24360,Reconstruct elbow joint,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24361,Reconstruct elbow joint,J1,5116,197.3696,"$15,946.08",.,"$3,189.22",*,,
24362,Reconstruct elbow joint,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24363,Replace elbow joint,J1,5116,197.3696,"$15,946.08",.,"$3,189.22",*,,
24365,Reconstruct head of radius,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24366,Reconstruct head of radius,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24370,Revise reconst elbow joint,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24371,Revise reconst elbow joint,J1,5116,197.3696,"$15,946.08",.,"$3,189.22",*,,
24400,Revision of humerus,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24410,Revision of humerus,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24420,Revision of humerus,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24430,Repair of humerus,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24435,Repair humerus with graft,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24470,Revision of elbow joint,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24495,Decompression of forearm,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24498,Reinforce humerus,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24500,Treat humerus fracture,T,5111,2.6691,$215.64,.,$43.13,,,
24505,Treat humerus fracture,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
24515,Treat humerus fracture,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24516,Treat humerus fracture,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24530,Treat humerus fracture,T,5111,2.6691,$215.64,.,$43.13,,,
24535,Treat humerus fracture,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
24538,Treat humerus fracture,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24545,Treat humerus fracture,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24546,Treat humerus fracture,J1,5116,197.3696,"$15,946.08",.,"$3,189.22",*,,
24560,Treat humerus fracture,T,5111,2.6691,$215.64,.,$43.13,,,
24565,Treat humerus fracture,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
24566,Treat humerus fracture,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
24575,Treat humerus fracture,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24576,Treat humerus fracture,T,5111,2.6691,$215.64,.,$43.13,,,
24577,Treat humerus fracture,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
24579,Treat humerus fracture,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24582,Treat humerus fracture,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24586,Treat elbow fracture,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24587,Treat elbow fracture,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24600,Treat elbow dislocation,T,5111,2.6691,$215.64,.,$43.13,,,
24605,Treat elbow dislocation,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
24615,Treat elbow dislocation,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24620,Treat elbow fracture,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
24635,Treat elbow fracture,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24640,Treat elbow dislocation,T,5111,2.6691,$215.64,.,$43.13,,,
24650,Treat radius fracture,T,5111,2.6691,$215.64,.,$43.13,,,
24655,Treat radius fracture,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
24665,Treat radius fracture,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24666,Treat radius fracture,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24670,Treat ulnar fracture,T,5111,2.6691,$215.64,.,$43.13,,,
24675,Treat ulnar fracture,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
24685,Treat ulnar fracture,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24800,Fusion of elbow joint,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24802,Fusion/graft of elbow joint,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
24900,Amputation of upper arm,C,,,,,,,,
24920,Amputation of upper arm,C,,,,,,,,
24925,Amputation follow-up surgery,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
24930,Amputation follow-up surgery,C,,,,,,,,
24931,Amputate upper arm & implant,C,,,,,,,,
24935,Revision of amputation,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
24940,Revision of upper arm,C,,,,,,,,
24999,Upper arm/elbow surgery,T,5111,2.6691,$215.64,.,$43.13,,,
25000,Incision of tendon sheath,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25001,Incise flexor carpi radialis,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25020,Decompress forearm 1 space,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25023,Decompress forearm 1 space,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25024,Decompress forearm 2 spaces,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25025,Decompress forearm 2 spaces,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25028,Drainage of forearm lesion,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25031,Drainage of forearm bursa,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25035,Treat forearm bone lesion,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25040,Explore/treat wrist joint,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25065,Biopsy forearm soft tissues,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
25066,Biopsy forearm soft tissues,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
25071,Exc forearm les sc 3 cm/>,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
25073,Exc forearm tum deep 3 cm/>,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
25075,Exc forearm les sc < 3 cm,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
25076,Exc forearm tum deep < 3 cm,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
25077,Resect forearm/wrist tum<3cm,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
25078,Resect forarm/wrist tum 3cm>,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
25085,Incision of wrist capsule,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25100,Biopsy of wrist joint,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25101,Explore/treat wrist joint,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25105,Remove wrist joint lining,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25107,Remove wrist joint cartilage,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25109,Excise tendon forearm/wrist,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25110,Remove wrist tendon lesion,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25111,Remove wrist tendon lesion,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25112,Reremove wrist tendon lesion,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25115,Remove wrist/forearm lesion,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25116,Remove wrist/forearm lesion,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25118,Excise wrist tendon sheath,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25119,Partial removal of ulna,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25120,Removal of forearm lesion,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25125,Remove/graft forearm lesion,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25126,Remove/graft forearm lesion,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25130,Removal of wrist lesion,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25135,Remove & graft wrist lesion,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25136,Remove & graft wrist lesion,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25145,Remove forearm bone lesion,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25150,Partial removal of ulna,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25151,Partial removal of radius,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25170,Resect radius/ulnar tumor,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25210,Removal of wrist bone,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25215,Removal of wrist bones,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25230,Partial removal of radius,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25240,Partial removal of ulna,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25246,Injection for wrist x-ray,N,,,,,,,,
25248,Remove forearm foreign body,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25250,Removal of wrist prosthesis,Q2,5112,16.7761,"$1,355.39",.,$271.08,,,
25251,Removal of wrist prosthesis,Q2,5113,33.8823,"$2,737.45",.,$547.49,,,
25259,Manipulate wrist w/anesthes,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25260,Repair forearm tendon/muscle,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25263,Repair forearm tendon/muscle,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25265,Repair forearm tendon/muscle,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25270,Repair forearm tendon/muscle,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25272,Repair forearm tendon/muscle,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25274,Repair forearm tendon/muscle,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25275,Repair forearm tendon sheath,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25280,Revise wrist/forearm tendon,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25290,Incise wrist/forearm tendon,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25295,Release wrist/forearm tendon,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25300,Fusion of tendons at wrist,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25301,Fusion of tendons at wrist,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25310,Transplant forearm tendon,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25312,Transplant forearm tendon,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25315,Revise palsy hand tendon(s),J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25316,Revise palsy hand tendon(s),J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25320,Repair/revise wrist joint,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25332,Revise wrist joint,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25335,Realignment of hand,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25337,Reconstruct ulna/radioulnar,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25350,Revision of radius,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25355,Revision of radius,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25360,Revision of ulna,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25365,Revise radius & ulna,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
25370,Revise radius or ulna,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25375,Revise radius & ulna,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25390,Shorten radius or ulna,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25391,Lengthen radius or ulna,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
25392,Shorten radius & ulna,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25393,Lengthen radius & ulna,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25394,Repair carpal bone shorten,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25400,Repair radius or ulna,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25405,Repair/graft radius or ulna,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25415,Repair radius & ulna,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25420,Repair/graft radius & ulna,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25425,Repair/graft radius or ulna,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25426,Repair/graft radius & ulna,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25430,Vasc graft into carpal bone,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25431,Repair nonunion carpal bone,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25440,Repair/graft wrist bone,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25441,Reconstruct wrist joint,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
25442,Reconstruct wrist joint,J1,5116,197.3696,"$15,946.08",.,"$3,189.22",*,,
25443,Reconstruct wrist joint,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25444,Reconstruct wrist joint,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
25445,Reconstruct wrist joint,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25446,Wrist replacement,J1,5116,197.3696,"$15,946.08",.,"$3,189.22",*,,
25447,Repair wrist joints,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25449,Remove wrist joint implant,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25450,Revision of wrist joint,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25455,Revision of wrist joint,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25490,Reinforce radius,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25491,Reinforce ulna,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
25492,Reinforce radius and ulna,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25500,Treat fracture of radius,T,5111,2.6691,$215.64,.,$43.13,,,
25505,Treat fracture of radius,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25515,Treat fracture of radius,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25520,Treat fracture of radius,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25525,Treat fracture of radius,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25526,Treat fracture of radius,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25530,Treat fracture of ulna,T,5111,2.6691,$215.64,.,$43.13,,,
25535,Treat fracture of ulna,T,5111,2.6691,$215.64,.,$43.13,,,
25545,Treat fracture of ulna,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25560,Treat fracture radius & ulna,T,5111,2.6691,$215.64,.,$43.13,,,
25565,Treat fracture radius & ulna,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25574,Treat fracture radius & ulna,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25575,Treat fracture radius/ulna,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25600,Treat fracture radius/ulna,T,5111,2.6691,$215.64,.,$43.13,,,
25605,Treat fracture radius/ulna,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25606,Treat fx distal radial,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25607,Treat fx rad extra-articul,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25608,Treat fx rad intra-articul,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25609,Treat fx radial 3+ frag,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25622,Treat wrist bone fracture,T,5111,2.6691,$215.64,.,$43.13,,,
25624,Treat wrist bone fracture,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25628,Treat wrist bone fracture,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25630,Treat wrist bone fracture,T,5111,2.6691,$215.64,.,$43.13,,,
25635,Treat wrist bone fracture,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25645,Treat wrist bone fracture,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25650,Treat wrist bone fracture,T,5111,2.6691,$215.64,.,$43.13,,,
25651,Pin ulnar styloid fracture,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25652,Treat fracture ulnar styloid,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25660,Treat wrist dislocation,T,5111,2.6691,$215.64,.,$43.13,,,
25670,Treat wrist dislocation,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25671,Pin radioulnar dislocation,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25675,Treat wrist dislocation,T,5111,2.6691,$215.64,.,$43.13,,,
25676,Treat wrist dislocation,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25680,Treat wrist fracture,T,5111,2.6691,$215.64,.,$43.13,,,
25685,Treat wrist fracture,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25690,Treat wrist dislocation,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25695,Treat wrist dislocation,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25800,Fusion of wrist joint,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25805,Fusion/graft of wrist joint,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25810,Fusion/graft of wrist joint,J1,5115,147.2988,"$11,900.71",.,"$2,380.15",*,,
25820,Fusion of hand bones,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25825,Fuse hand bones with graft,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25830,Fusion radioulnar jnt/ulna,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25900,Amputation of forearm,C,,,,,,,,
25905,Amputation of forearm,C,,,,,,,,
25907,Amputation follow-up surgery,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25909,Amputation follow-up surgery,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
25915,Amputation of forearm,C,,,,,,,,
25920,Amputate hand at wrist,C,,,,,,,,
25922,Amputate hand at wrist,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
25924,Amputation follow-up surgery,C,,,,,,,,
25927,Amputation of hand,C,,,,,,,,
25929,Amputation follow-up surgery,T,5054,20.0852,"$1,622.74",.,$324.55,,,
25931,Amputation follow-up surgery,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
25999,Forearm or wrist surgery,T,5111,2.6691,$215.64,.,$43.13,,,
26010,Drainage of finger abscess,T,5051,2.1627,$174.73,.,$34.95,,,
26011,Drainage of finger abscess,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
26020,Drain hand tendon sheath,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26025,Drainage of palm bursa,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26030,Drainage of palm bursas,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26034,Treat hand bone lesion,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26035,Decompress fingers/hand,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26037,Decompress fingers/hand,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26040,Release palm contracture,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26045,Release palm contracture,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26055,Incise finger tendon sheath,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26060,Incision of finger tendon,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26070,Explore/treat hand joint,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26075,Explore/treat finger joint,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26080,Explore/treat finger joint,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26100,Biopsy hand joint lining,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26105,Biopsy finger joint lining,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26110,Biopsy finger joint lining,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26111,Exc hand les sc 1.5 cm/>,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
26113,Exc hand tum deep 1.5 cm/>,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
26115,Exc hand les sc < 1.5 cm,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
26116,Exc hand tum deep < 1.5 cm,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
26117,Rad resect hand tumor < 3 cm,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
26118,Rad resect hand tumor 3 cm/>,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
26121,Release palm contracture,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26123,Release palm contracture,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26125,Release palm contracture,N,,,,,,,,
26130,Remove wrist joint lining,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26135,Revise finger joint each,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26140,Revise finger joint each,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26145,Tendon excision palm/finger,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26160,Remove tendon sheath lesion,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26170,Removal of palm tendon each,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26180,Removal of finger tendon,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26185,Remove finger bone,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26200,Remove hand bone lesion,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26205,Remove/graft bone lesion,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
26210,Removal of finger lesion,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26215,Remove/graft finger lesion,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26230,Partial removal of hand bone,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26235,Partial removal finger bone,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26236,Partial removal finger bone,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26250,Extensive hand surgery,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26260,Resect prox finger tumor,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26262,Resect distal finger tumor,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26320,Removal of implant from hand,Q2,5072,16.9891,"$1,372.60",.,$274.52,,,
26340,Manipulate finger w/anesth,J1,5112,16.7761,"$1,355.39",.,$271.08,,,
26341,Manipulat palm cord post inj,T,5111,2.6691,$215.64,.,$43.13,,,
26350,Repair finger/hand tendon,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26352,Repair/graft hand tendon,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
26356,Repair finger/hand tendon,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26357,Repair finger/hand tendon,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
26358,Repair/graft hand tendon,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
